"","Player","Age","Tm","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","MVP","Year","Set"
"1","Bob Pettit","23","STL","35.0","35.0","81","0.432","72","38.8","25.7","16.2","2.6","","",".429","",".736","13.8",".236",1,1956,740
"2","Paul Arizin","27","PHW","21.0","21.0","81","0.259","72","37.8","24.2","7.5","2.6","","",".448","",".810","12.2",".214",0,1956,151
"3","Bob Cousy","27","BOS","10.0","10.0","81","0.123","72","38.4","18.8","6.8","8.9","","",".360","",".844","6.8",".119",0,1956,87
"4","Mel Hutchins","27","FTW","9.0","9.0","81","0.111","66","33.9","12.0","7.5","2.7","","",".425","",".643","4.4",".095",0,1956,120
"5","Dolph Schayes","27","SYR","2.0","2.0","81","0.025","72","35.0","20.4","12.4","2.8","","",".387","",".858","11.8",".225",0,1956,730
"6","Bill Sharman","29","BOS","2.0","2.0","81","0.025","72","37.5","19.9","3.6","4.7","","",".438","",".867","8.8",".157",0,1956,611
"7","Tom Gola","23","PHW","1.0","1.0","81","0.012","68","34.5","10.8","9.1","5.9","","",".412","",".733","6.5",".132",0,1956,650
"8","Maurice Stokes","22","ROC","1.0","1.0","81","0.012","67","34.7","16.8","16.3","4.9","","",".354","",".714","6.0",".125",0,1956,385
"9","Bob Cousy","28","BOS","31.0","31.0","85","0.365","64","36.9","20.6","4.8","7.5","","",".378","",".821","8.8",".178",1,1957,708
"10","Bob Pettit","24","STL","20.0","20.0","85","0.235","71","35.1","24.7","14.6","1.9","","",".415","",".773","11.6",".224",0,1957,125
"11","Paul Arizin","28","PHW","10.0","10.0","85","0.118","71","39.0","25.6","7.9","2.1","","",".422","",".829","12.3",".213",0,1957,798
"12","George Yardley","28","FTW","7.0","7.0","85","0.082","72","37.4","21.5","10.5","2.0","","",".410","",".787","10.0",".179",0,1957,241
"13","Dolph Schayes","28","SYR","5.0","5.0","85","0.059","72","39.6","22.5","14.0","3.2","","",".379","",".904","12.5",".211",0,1957,715
"14","Maurice Stokes","23","ROC","5.0","5.0","85","0.059","72","38.3","15.6","17.4","4.6","","",".347","",".665","5.5",".096",0,1957,574
"15","Bill Russell","22","BOS","2.0","2.0","85","0.024","48","35.3","14.7","19.6","1.8","","",".427","",".492","6.2",".176",0,1957,819
"16","Ray Felix","26","NYK","1.0","1.0","85","0.012","72","22.5","12.0","8.2","0.5","","",".416","",".747","5.5",".162",0,1957,779
"17","Harry Gallatin","29","NYK","1.0","1.0","85","0.012","72","27.0","15.0","10.1","1.2","","",".406","",".800","8.1",".199",0,1957,99
"18","Mel Hutchins","28","FTW","1.0","1.0","85","0.012","72","36.8","12.4","7.9","2.9","","",".387","",".738","2.8",".050",0,1957,246
"19","Kenny Sears","23","NYK","1.0","1.0","85","0.012","72","34.9","14.8","8.5","1.4","","",".418","",".790","8.0",".153",0,1957,886
"20","Jack Twyman","22","ROC","1.0","1.0","85","0.012","72","32.5","16.3","4.9","1.7","","",".439","",".760","8.8",".180",0,1957,470
"21","Bill Russell","23","BOS","33.0","228.0","400","0.570","69","38.3","16.6","22.7","2.9","","",".442","",".519","11.3",".206",1,1958,677
"22","Dolph Schayes","29","SYR","25.0","198.0","400","0.495","72","40.5","24.9","14.2","3.1","","",".398","",".904","13.7",".226",0,1958,34
"23","George Yardley","29","DET","12.0","120.0","400","0.300","72","39.5","27.8","10.7","1.3","","",".414","",".811","12.3",".208",0,1958,358
"24","Bob Pettit","25","STL","4.0","71.0","400","0.178","70","36.1","24.6","17.4","2.2","","",".410","",".749","11.0",".209",0,1958,799
"25","Maurice Stokes","24","CIN","2.0","28.0","400","0.070","63","39.0","16.9","18.1","6.4","","",".351","",".715","4.5",".088",0,1958,130
"26","Bob Cousy","29","BOS","2.0","11.0","400","0.028","65","34.2","18.0","5.0","7.1","","",".353","",".850","5.4",".116",0,1958,383
"27","Bill Sharman","31","BOS","2.0","11.0","400","0.028","63","35.1","22.3","4.7","2.7","","",".424","",".893","8.7",".189",0,1958,100
"28","Paul Arizin","29","PHW","0.0","8.0","400","0.020","68","35.0","20.7","7.4","2.0","","",".393","",".809","7.7",".156",0,1958,598
"29","Walter Dukes","27","DET","0.0","4.0","400","0.010","72","30.3","11.2","13.3","0.7","","",".349","",".675","2.4",".052",0,1958,283
"30","Vern Mikkelsen","29","MNL","0.0","3.0","400","0.008","72","33.2","17.3","11.2","2.3","","",".410","",".786","6.5",".130",0,1958,617
"31","Cliff Hagan","26","STL","0.0","2.0","400","0.005","70","31.3","19.9","10.1","2.5","","",".443","",".768","10.0",".220",0,1958,121
"32","Neil Johnston","28","PHW","0.0","1.0","400","0.002","71","33.9","19.5","11.1","2.3","","",".429","",".819","11.3",".224",0,1958,102
"33","Clyde Lovellette","28","CIN","0.0","1.0","400","0.002","71","36.5","23.4","12.1","1.9","","",".441","",".743","10.1",".187",0,1958,900
"34","Kenny Sears","24","NYK","0.0","1.0","400","0.002","72","37.3","18.6","10.9","1.8","","",".439","",".822","10.0",".179",0,1958,279
"35","Bob Pettit","26","STL","59.0","317.0","410","0.773","72","39.9","29.2","16.4","3.1","","",".438","",".759","14.8",".246",1,1959,616
"36","Bill Russell","24","BOS","10.0","144.0","410","0.351","70","42.6","16.7","23.0","3.2","","",".457","",".598","12.9",".208",0,1959,420
"37","Elgin Baylor","24","MNL","2.0","88.0","410","0.215","70","40.8","24.9","15.0","4.1","","",".408","",".777","9.8",".165",0,1959,485
"38","Bob Cousy","30","BOS","4.0","71.0","410","0.173","65","37.0","20.0","5.5","8.6","","",".384","",".855","8.7",".174",0,1959,841
"39","Paul Arizin","30","PHW","1.0","39.0","410","0.095","70","40.0","26.4","9.1","1.7","","",".431","",".813","13.0",".223",0,1959,212
"40","Dolph Schayes","30","SYR","1.0","26.0","410","0.063","72","36.7","21.3","13.4","2.5","","",".387","",".864","9.4",".171",0,1959,171
"41","Larry Costello","27","SYR","3.0","15.0","410","0.037","70","39.3","15.8","5.2","5.4","","",".437","",".802","8.5",".149",0,1959,7
"42","Kenny Sears","25","NYK","1.0","12.0","410","0.029","71","35.2","21.0","9.3","1.9","","",".490","",".861","13.3",".256",0,1959,139
"43","Cliff Hagan","27","STL","1.0","11.0","410","0.027","72","37.5","23.7","10.9","3.4","","",".456","",".774","11.7",".209",0,1959,623
"44","Jack Twyman","24","CIN","0.0","7.0","410","0.017","72","37.7","25.8","9.1","2.9","","",".420","",".783","7.3",".129",0,1959,849
"45","Tom Gola","26","PHW","0.0","3.0","410","0.007","64","36.5","14.1","11.1","4.2","","",".401","",".787","7.4",".153",0,1959,744
"46","Richie Guerin","26","NYK","0.0","3.0","410","0.007","71","36.0","18.2","7.3","5.1","","",".424","",".802","8.4",".158",0,1959,881
"47","Dick McGuire","33","DET","0.0","3.0","410","0.007","71","29.1","9.2","4.0","6.2","","",".427","",".740","6.9",".160",0,1959,315
"48","Gene Shue","27","DET","0.0","1.0","410","0.002","72","38.1","17.6","4.7","3.2","","",".388","",".803","5.6",".098",0,1959,16
"49","Wilt Chamberlain","23","PHW","49.0","270.0","375","0.720","72","46.4","37.6","27.0","2.3","","",".461","",".582","17.0",".245",1,1960,477
"50","Bill Russell","25","BOS","15.0","186.0","375","0.496","74","42.5","18.2","24.0","3.7","","",".467","",".612","13.8",".211",0,1960,684
"51","Bob Pettit","27","STL","3.0","106.0","375","0.283","72","40.2","26.1","17.0","3.6","","",".438","",".753","11.5",".191",0,1960,196
"52","Bob Cousy","31","BOS","4.0","66.0","375","0.176","75","34.5","19.4","4.7","9.5","","",".384","",".792","7.8",".145",0,1960,637
"53","Elgin Baylor","25","MNL","2.0","40.0","375","0.107","70","41.0","29.6","16.4","3.5","","",".424","",".732","11.5",".192",0,1960,806
"54","Jack Twyman","25","CIN","0.0","8.0","375","0.021","75","40.3","31.2","8.9","3.5","","",".422","",".785","8.3",".131",0,1960,642
"55","Gene Shue","28","DET","0.0","7.0","375","0.019","75","44.5","22.8","5.5","3.9","","",".413","",".872","8.5",".122",0,1960,235
"56","Tom Gola","27","PHW","1.0","6.0","375","0.016","75","38.3","15.0","10.4","5.5","","",".433","",".794","9.9",".166",0,1960,624
"57","Dolph Schayes","31","SYR","0.0","6.0","375","0.016","75","36.5","22.5","12.8","3.4","","",".401","",".893","9.5",".167",0,1960,807
"58","Tom Heinsohn","25","BOS","1.0","5.0","375","0.013","75","32.3","21.7","10.6","2.3","","",".423","",".733","7.7",".154",0,1960,541
"59","Walter Dukes","29","DET","0.0","4.0","375","0.011","66","32.4","15.2","13.4","1.2","","",".361","",".740","3.9",".087",0,1960,646
"60","Richie Guerin","27","NYK","0.0","3.0","375","0.008","74","32.8","21.8","6.8","6.3","","",".420","",".773","7.4",".146",0,1960,843
"61","Willie Naulls","25","NYK","0.0","3.0","375","0.008","65","34.6","21.4","14.2","2.1","","",".428","",".836","5.3",".113",0,1960,829
"62","Cliff Hagan","28","STL","0.0","1.0","375","0.003","75","37.3","24.8","10.7","4.0","","",".464","",".803","11.8",".203",0,1960,595
"63","Bill Russell","26","BOS","35.0","213.0","375","0.568","78","44.3","16.9","23.9","3.4","","",".426","",".550","13.0",".181",1,1961,561
"64","Bob Pettit","28","STL","14.0","125.0","375","0.333","76","39.8","27.9","20.3","3.4","","",".447","",".724","14.9",".237",0,1961,733
"65","Elgin Baylor","26","LAL","10.0","116.0","375","0.309","73","42.9","34.8","19.8","5.1","","",".430","",".783","14.8",".227",0,1961,520
"66","Wilt Chamberlain","24","PHW","3.0","81.0","375","0.216","79","47.8","38.4","27.2","1.9","","",".509","",".504","18.8",".240",0,1961,681
"67","Oscar Robertson","22","CIN","7.0","70.0","375","0.187","71","42.7","30.5","10.1","9.7","","",".473","",".822","13.2",".210",0,1961,710
"68","Tom Heinsohn","26","BOS","3.0","15.0","375","0.040","74","30.5","21.3","9.9","1.9","","",".400","",".767","6.6",".141",0,1961,493
"69","Dolph Schayes","32","SYR","1.0","12.0","375","0.032","79","38.1","23.6","12.2","3.7","","",".372","",".868","8.5",".136",0,1961,148
"70","Bailey Howell","24","DET","1.0","9.0","375","0.024","77","38.3","23.6","14.4","2.5","","",".469","",".753","11.7",".190",0,1961,875
"71","Gene Shue","29","DET","0.0","8.0","375","0.021","78","43.1","22.6","4.3","6.8","","",".421","",".856","7.6",".108",0,1961,295
"72","Jack Twyman","26","CIN","0.0","6.0","375","0.016","79","37.0","25.3","8.5","2.8","","",".488","",".731","9.6",".157",0,1961,266
"73","Jerry West","22","LAL","1.0","5.0","375","0.013","79","35.4","17.6","7.7","4.2","","",".419","",".666","6.6",".113",0,1961,614
"74","Clyde Lovellette","31","STL","0.0","4.0","375","0.011","67","31.5","22.0","10.1","2.6","","",".453","",".830","8.5",".193",0,1961,260
"75","Cliff Hagan","29","STL","0.0","3.0","375","0.008","77","35.1","22.1","9.3","4.9","","",".444","",".820","10.8",".193",0,1961,694
"76","Richie Guerin","28","NYK","0.0","2.0","375","0.005","79","38.3","21.8","7.9","6.4","","",".396","",".792","5.4",".086",0,1961,190
"77","Paul Arizin","32","PHW","0.0","1.0","375","0.003","79","37.2","23.2","8.6","2.4","","",".425","",".833","9.7",".159",0,1961,366
"78","Willie Naulls","26","NYK","0.0","1.0","375","0.003","79","37.7","23.4","13.4","2.4","","",".428","",".816","5.7",".092",0,1961,193
"79","Kenny Sears","27","NYK","0.0","1.0","375","0.003","52","26.8","14.4","5.6","2.0","","",".424","",".825","4.0",".138",0,1961,272
"80","Bill Russell","27","BOS","51.0","297.0","425","0.699","76","45.2","18.9","23.6","4.5","","",".457","",".595","15.5",".217",1,1962,609
"81","Wilt Chamberlain","25","PHW","9.0","152.0","425","0.358","80","48.5","50.4","25.7","2.4","","",".506","",".613","23.1",".286",0,1962,301
"82","Oscar Robertson","23","CIN","13.0","135.0","425","0.318","79","44.3","30.8","12.5","11.4","","",".478","",".803","15.6",".214",0,1962,85
"83","Elgin Baylor","27","LAL","3.0","82.0","425","0.193","48","44.4","38.3","18.6","4.6","","",".428","",".754","7.9",".179",0,1962,534
"84","Jerry West","23","LAL","6.0","60.0","425","0.141","75","41.2","30.8","7.9","5.4","","",".445","",".769","12.9",".201",0,1962,117
"85","Bob Pettit","29","STL","2.0","31.0","425","0.073","78","42.1","31.1","18.7","3.7","","",".450","",".771","11.5",".168",0,1962,633
"86","Richie Guerin","29","NYK","1.0","5.0","425","0.012","78","42.9","29.5","6.4","6.9","","",".442","",".820","12.1",".174",0,1962,570
"87","Bob Cousy","33","BOS","0.0","3.0","425","0.007","75","28.2","15.7","3.5","7.8","","",".391","",".754","6.3",".144",0,1962,467
"88","Bill Russell","28","BOS","56.0","341.0","475","0.718","78","44.9","16.8","23.6","4.5","","",".432","",".555","13.5",".185",1,1963,427
"89","Elgin Baylor","28","LAL","19.0","221.0","475","0.465","80","42.1","34.0","14.3","4.8","","",".453","",".837","14.4",".205",0,1963,483
"90","Oscar Robertson","24","CIN","13.0","191.0","475","0.402","80","44.0","28.3","10.4","9.5","","",".518","",".810","16.8",".229",0,1963,454
"91","Bob Pettit","30","STL","3.0","84.0","475","0.177","79","39.1","28.4","15.1","3.1","","",".446","",".774","14.3",".222",0,1963,164
"92","Jerry West","24","LAL","2.0","19.0","475","0.040","55","39.3","27.1","7.0","5.6","","",".461","",".778","8.1",".180",0,1963,353
"93","Red Kerr","30","SYR","1.0","13.0","475","0.027","80","32.0","15.7","13.0","2.7","","",".474","",".753","7.7",".144",0,1963,546
"94","Wilt Chamberlain","26","SFW","0.0","9.0","475","0.019","80","47.6","44.8","24.3","3.4","","",".528","",".593","20.9",".264",0,1963,482
"95","Terry Dischinger","22","CHZ","1.0","5.0","475","0.011","57","40.2","25.5","8.0","3.1","","",".512","",".770","9.2",".192",0,1963,205
"96","Bob Cousy","34","BOS","0.0","5.0","475","0.011","76","26.0","13.2","2.5","6.8","","",".397","",".735","5.2",".126",0,1963,340
"97","John Havlicek","22","BOS","0.0","3.0","475","0.006","80","27.5","14.3","6.7","2.2","","",".445","",".728","6.4",".139",0,1963,17
"98","John Barnhill","24","STL","0.0","1.0","475","0.002","77","35.0","11.7","4.7","4.2","","",".430","",".710","4.6",".082",0,1963,679
"99","Walt Bellamy","23","CHZ","0.0","1.0","475","0.002","80","41.3","27.9","16.4","2.9","","",".527","",".674","13.7",".199",0,1963,304
"100","Oscar Robertson","25","CIN","60.0","362.0","480","0.754","79","45.1","31.4","9.9","11.0","","",".483","",".853","20.6",".278",1,1964,291
"101","Wilt Chamberlain","27","SFW","19.0","215.0","480","0.448","80","46.1","36.9","22.3","5.0","","",".524","",".531","25.0",".325",0,1964,265
"102","Bill Russell","29","BOS","11.0","167.0","480","0.348","78","44.6","15.0","24.7","4.7","","",".433","",".550","17.3",".238",0,1964,278
"103","Bob Pettit","31","STL","4.0","69.0","480","0.144","80","41.2","27.4","15.3","3.2","","",".463","",".789","14.9",".217",0,1964,750
"104","Jerry West","25","LAL","2.0","39.0","480","0.081","72","40.4","28.7","6.0","5.6","","",".484","",".832","14.0",".232",0,1964,893
"105","Elgin Baylor","29","LAL","0.0","3.0","480","0.006","78","40.6","25.4","12.0","4.4","","",".425","",".804","7.2",".109",0,1964,518
"106","Hal Greer","27","PHI","0.0","3.0","480","0.006","80","39.5","23.3","6.1","4.7","","",".444","",".829","8.1",".124",0,1964,486
"107","Gus Johnson","25","BAL","0.0","3.0","480","0.006","78","36.5","17.3","13.6","2.2","","",".430","",".658","3.5",".060",0,1964,322
"108","Wayne Embry","26","CIN","0.0","1.0","480","0.002","80","36.4","17.3","11.6","1.4","","",".458","",".650","6.3",".104",0,1964,181
"109","Sam Jones","30","BOS","0.0","1.0","480","0.002","76","31.3","19.4","4.6","2.7","","",".450","",".783","8.9",".180",0,1964,326
"110","Jerry Lucas","23","CIN","0.0","1.0","480","0.002","79","41.4","17.7","17.4","2.6","","",".527","",".779","12.7",".187",0,1964,463
"111","Bill Russell","30","BOS","53.0","53.0","99","0.535","78","44.4","14.1","24.1","5.3","","",".438","",".573","16.9",".234",1,1965,495
"112","Oscar Robertson","26","CIN","21.0","21.0","99","0.212","75","45.6","30.4","9.0","11.5","","",".480","",".839","17.0",".238",0,1965,398
"113","Jerry West","26","LAL","20.0","20.0","99","0.202","74","41.4","31.0","6.0","4.9","","",".497","",".821","16.7",".261",0,1965,533
"114","Sam Jones","31","BOS","4.0","4.0","99","0.040","80","36.1","25.9","5.1","2.8","","",".452","",".820","12.8",".213",0,1965,664
"115","Wilt Chamberlain","28","TOT","1.0","1.0","99","0.010","73","45.2","34.7","22.9","3.4","","",".510","",".464","15.1",".219",0,1965,816
"116","Wilt Chamberlain","29","PHI","48.0","181.0","445","0.407","79","47.3","33.5","24.6","5.2","","",".540","",".513","21.4",".275",1,1966,686
"117","Jerry West","27","LAL","16.0","101.0","445","0.227","79","40.7","31.3","7.1","6.1","","",".473","",".860","17.1",".256",0,1966,446
"118","Oscar Robertson","27","CIN","14.0","93.0","445","0.209","76","46.0","31.3","7.7","11.1","","",".475","",".842","16.9",".232",0,1966,761
"119","Bill Russell","31","BOS","7.0","69.0","445","0.155","78","43.4","12.9","22.8","4.8","","",".415","",".551","11.7",".165",0,1966,40
"120","Sam Jones","32","BOS","2.0","11.0","445","0.025","67","32.2","23.5","5.2","3.2","","",".469","",".799","10.0",".222",0,1966,573
"121","Jerry Lucas","25","CIN","2.0","11.0","445","0.025","79","44.5","21.5","21.1","2.7","","",".453","",".787","8.1",".110",0,1966,274
"122","Wilt Chamberlain","30","PHI","80.0","444.0","525","0.846","81","45.5","24.1","24.2","7.8","","",".683","",".441","21.9",".285",1,1967,753
"123","Nate Thurmond","25","SFW","15.0","170.0","525","0.324","65","42.5","18.7","21.3","2.6","","",".437","",".629","7.2",".125",0,1967,232
"124","Bill Russell","32","BOS","5.0","96.0","525","0.183","81","40.7","13.3","21.0","5.8","","",".454","",".610","12.2",".178",0,1967,285
"125","Oscar Robertson","28","CIN","3.0","93.0","525","0.177","79","43.9","30.5","6.2","10.7","","",".493","",".873","17.4",".241",0,1967,847
"126","Rick Barry","22","SFW","2.0","52.0","525","0.099","78","40.7","35.6","9.2","3.6","","",".451","",".884","14.4",".218",0,1967,64
"127","Wilt Chamberlain","31","PHI","88.0","504.0","675","0.747","82","46.8","24.3","23.8","8.6","","",".595","",".380","20.4",".255",1,1968,466
"128","Lenny Wilkens","30","STL","26.0","216.0","675","0.320","82","38.6","20.0","5.3","8.3","","",".438","",".768","10.1",".153",0,1968,577
"129","Elgin Baylor","33","LAL","9.0","129.0","675","0.191","77","39.3","26.0","12.2","4.6","","",".443","",".786","8.0",".127",0,1968,661
"130","Dave Bing","24","DET","9.0","127.0","675","0.188","79","40.6","27.1","4.7","6.4","","",".441","",".707","6.2",".093",0,1968,821
"131","Oscar Robertson","29","CIN","3.0","93.0","675","0.138","65","42.5","29.2","6.0","9.7","","",".500","",".873","12.3",".214",0,1968,158
"132","Wes Unseld","22","BAL","53.0","310.0","515","0.602","82","36.2","13.8","18.2","2.6","","",".476","",".605","10.8",".175",1,1969,437
"133","Willis Reed","26","NYK","18.0","137.0","515","0.266","82","37.9","21.1","14.5","2.3","","",".521","",".747","14.7",".227",0,1969,698
"134","Billy Cunningham","25","PHI","15.0","130.0","515","0.252","82","40.8","24.8","12.8","3.5","","",".426","",".737","9.0",".129",0,1969,445
"135","Bill Russell","34","BOS","11.0","93.0","515","0.181","77","42.7","9.9","19.3","4.9","","",".433","",".526","10.9",".159",0,1969,238
"136","Elgin Baylor","34","LAL","6.0","89.0","515","0.173","76","40.3","24.8","10.6","5.4","","",".447","",".743","8.5",".133",0,1969,809
"137","Willis Reed","27","NYK","61.0","498.0","750","0.664","81","38.1","21.7","13.9","2.0","","",".507","",".756","14.6",".227",1,1970,319
"138","Jerry West","31","LAL","51.0","457.0","750","0.609","74","42.0","31.2","4.6","7.5","","",".497","",".824","15.2",".234",0,1970,425
"139","Kareem Abdul-Jabbar","22","MIL","30.0","335.0","750","0.447","82","43.1","28.8","14.5","4.1","","",".518","",".653","13.8",".187",0,1970,89
"140","Walt Frazier","24","NYK","4.0","50.0","750","0.067","77","39.5","20.9","6.0","8.2","","",".518","",".748","15.0",".236",0,1970,754
"141","Billy Cunningham","26","PHI","2.0","27.0","750","0.036","81","39.4","26.1","13.6","4.3","","",".469","",".729","10.3",".155",0,1970,210
"142","Connie Hawkins","27","PHO","2.0","27.0","750","0.036","81","40.9","24.6","10.4","4.8","","",".490","",".779","10.2",".147",0,1970,134
"143","Kareem Abdul-Jabbar","23","MIL","133.0","698.0","765","0.912","82","40.1","31.7","16.0","3.3","","",".577","",".690","22.3",".326",1,1971,812
"144","Jerry West","32","LAL","4.0","166.0","765","0.217","69","41.2","26.9","4.6","9.5","","",".494","",".832","12.8",".215",0,1971,631
"145","Dave Bing","27","DET","6.0","119.0","765","0.156","82","37.4","27.0","4.4","5.0","","",".467","",".797","11.7",".183",0,1971,8
"146","Willis Reed","28","NYK","5.0","109.0","765","0.142","73","39.1","20.9","13.7","2.0","","",".462","",".785","10.6",".179",0,1971,630
"147","Oscar Robertson","32","MIL","5.0","63.0","765","0.082","81","39.4","19.4","5.7","8.2","","",".496","",".850","12.4",".186",0,1971,691
"148","Kareem Abdul-Jabbar","24","MIL","81.0","581.0","820","0.709","81","44.2","34.8","16.6","4.6","","",".574","",".689","25.4",".340",1,1972,627
"149","Jerry West","33","LAL","44.0","393.0","820","0.479","77","38.6","25.8","4.2","9.7","","",".477","",".814","13.3",".216",0,1972,428
"150","Wilt Chamberlain","35","LAL","36.0","294.0","820","0.359","82","42.3","14.8","19.2","4.0","","",".649","",".422","15.8",".219",0,1972,665
"151","John Havlicek","31","BOS","1.0","65.0","820","0.079","82","45.1","27.5","8.2","7.5","","",".458","",".834","12.4",".162",0,1972,352
"152","Spencer Haywood","22","SEA","2.0","49.0","820","0.060","73","43.4","26.2","12.7","2.0","","",".461","",".819","8.7",".131",0,1972,157
"153","Dave Cowens","24","BOS","67.0","444.0","875","0.507","82","41.8","20.5","16.2","4.1","","",".452","",".779","12.0",".168",1,1973,58
"154","Kareem Abdul-Jabbar","25","MIL","33.0","339.0","875","0.387","76","42.8","30.2","16.1","5.0","","",".554","",".713","21.9",".322",0,1973,144
"155","Tiny Archibald","24","KCO","44.0","319.0","875","0.365","80","46.0","34.0","2.8","11.4","","",".488","",".847","14.2",".186",0,1973,268
"156","Wilt Chamberlain","36","LAL","12.0","123.0","875","0.141","82","43.2","13.2","18.6","4.5","","",".727","",".510","18.2",".247",0,1973,519
"157","John Havlicek","32","BOS","5.0","88.0","875","0.101","80","42.1","23.8","7.1","6.6","","",".450","",".858","12.1",".172",0,1973,328
"158","Jerry West","34","LAL","1.0","70.0","875","0.080","69","35.7","22.8","4.2","8.8","","",".479","",".805","10.6",".206",0,1973,42
"159","Walt Frazier","27","NYK","4.0","40.0","875","0.046","78","40.8","21.1","7.3","5.9","","",".490","",".817","13.0",".196",0,1973,381
"160","Spencer Haywood","23","SEA","4.0","40.0","875","0.046","77","42.3","29.2","12.9","2.5","","",".476","",".839","10.2",".150",0,1973,432
"161","Nate Thurmond","31","GSW","2.0","33.0","875","0.038","79","43.3","17.1","17.1","3.5","","",".446","",".718","9.9",".140",0,1973,408
"162","Elvin Hayes","27","BAL","1.0","18.0","875","0.021","81","41.3","21.2","14.5","1.6","","",".444","",".671","7.6",".109",0,1973,160
"163","Dave DeBusschere","32","NYK","0.0","9.0","875","0.010","77","36.7","16.3","10.2","3.4","","",".435","",".746","6.6",".113",0,1973,795
"164","Bob Love","30","CHI","0.0","9.0","875","0.010","82","37.0","23.1","6.5","1.5","","",".431","",".824","6.3",".100",0,1973,443
"165","Elmore Smith","23","BUF","0.0","6.0","875","0.007","76","37.2","18.3","12.4","2.5","","",".482","",".558","3.9",".067",0,1973,606
"166","Bob Lanier","24","DET","1.0","5.0","875","0.006","81","38.9","23.8","14.9","3.2","","",".490","",".773","10.6",".161",0,1973,127
"167","Wes Unseld","26","BAL","1.0","5.0","875","0.006","79","39.1","12.5","15.9","4.4","","",".493","",".703","10.7",".166",0,1973,891
"168","Sidney Wicks","23","POR","0.0","3.0","875","0.003","80","39.4","23.8","10.9","5.5","","",".452","",".723","5.6",".085",0,1973,405
"169","Lenny Wilkens","35","CLE","0.0","3.0","875","0.003","75","39.6","20.5","4.6","8.4","","",".449","",".828","9.5",".154",0,1973,536
"170","Lucius Allen","25","MIL","0.0","1.0","875","0.001","80","33.7","15.5","3.5","5.3","","",".484","",".715","7.6",".135",0,1973,32
"171","Rick Barry","28","GSW","0.0","1.0","875","0.001","82","37.5","22.3","8.9","4.9","","",".452","",".902","10.2",".159",0,1973,372
"172","Dave Bing","29","DET","0.0","1.0","875","0.001","82","41.0","22.4","3.6","7.8","","",".448","",".814","8.6",".123",0,1973,484
"173","Lou Hudson","28","ATL","0.0","1.0","875","0.001","75","40.4","27.1","6.2","3.4","","",".477","",".825","9.3",".148",0,1973,223
"174","Kareem Abdul-Jabbar","26","MIL","74.0","528.0","905","0.583","81","43.8","27.0","14.5","4.8","1.4","3.5",".539","",".702","18.4",".250",1,1974,851
"175","Bob McAdoo","22","BUF","60.0","451.0","905","0.498","74","43.0","30.6","15.1","2.3","1.2","3.3",".547","",".793","15.3",".231",0,1974,793
"176","Bob Lanier","25","DET","37.0","395.0","905","0.436","81","37.6","22.5","13.3","4.2","1.4","3.0",".504","",".797","14.4",".227",0,1974,687
"177","Dave Cowens","25","BOS","3.0","91.0","905","0.101","80","41.9","19.0","15.7","4.4","1.2","1.3",".437","",".832","9.3",".134",0,1974,119
"178","Elvin Hayes","28","CAP","4.0","74.0","905","0.082","81","44.5","21.4","18.1","2.0","1.1","3.0",".423","",".721","10.6",".142",0,1974,71
"179","Walt Frazier","28","NYK","2.0","24.0","905","0.027","80","41.7","20.5","6.7","6.9","2.0","0.2",".472","",".838","10.9",".157",0,1974,70
"180","Rick Barry","29","GSW","0.0","10.0","905","0.011","80","36.5","25.1","6.8","6.1","2.1","0.5",".456","",".899","10.4",".172",0,1974,848
"181","Nate Thurmond","32","GSW","1.0","8.0","905","0.009","62","39.7","13.0","14.2","2.7","0.7","2.9",".444","",".666","6.0",".117",0,1974,343
"182","John Havlicek","33","BOS","0.0","5.0","905","0.006","76","40.7","22.6","6.4","5.9","1.3","0.4",".456","",".832","9.7",".151",0,1974,709
"183","Norm Van Lier","26","CHI","0.0","5.0","905","0.006","80","35.8","14.3","4.7","6.9","2.0","0.1",".406","",".778","5.2",".087",0,1974,725
"184","Dave Bing","30","DET","0.0","3.0","905","0.003","81","38.6","18.8","3.5","6.9","1.3","0.2",".436","",".813","7.3",".113",0,1974,889
"185","Phil Chenier","23","CAP","0.0","3.0","905","0.003","76","38.7","21.9","5.1","3.1","2.0","0.9",".434","",".820","7.4",".121",0,1974,115
"186","Dave DeBusschere","33","NYK","0.0","3.0","905","0.003","71","38.0","18.1","10.7","3.6","0.9","0.5",".461","",".756","7.0",".125",0,1974,462
"187","Clifford Ray","25","CHI","0.0","3.0","905","0.003","80","32.9","9.3","12.2","3.1","0.7","2.2",".511","",".608","8.2",".150",0,1974,734
"188","Lucius Allen","26","MIL","0.0","2.0","905","0.002","72","33.2","17.6","4.0","5.2","1.9","0.3",".495","",".788","8.2",".164",0,1974,880
"189","Bob Love","31","CHI","0.0","2.0","905","0.002","82","40.1","21.8","6.0","1.6","1.0","0.3",".417","",".818","5.8",".084",0,1974,653
"190","Spencer Haywood","24","SEA","0.0","1.0","905","0.001","75","40.5","23.5","13.4","3.2","0.9","1.4",".457","",".814","9.7",".153",0,1974,380
"191","Clyde Lee","29","GSW","0.0","1.0","905","0.001","54","30.4","5.9","11.1","1.3","0.5","0.3",".454","",".579","2.6",".076",0,1974,104
